theme,url,img,lines,author
LOYALTY,/inspirational-quotes/7896-you-don-t-earn-loyalty-in-a-day-you-earn,https://assets.passiton.com/quotes/quote_artwork/7896/medium/20211104_thursday_quote.jpg?1635457542,You don’t earn loyalty in a day. You earn loyalty day-by-day.,<Author:0x000055ecd779f620>
LOYALTY,/inspirational-quotes/7899-loyalty-is-the-pledge-of-truth-to-oneself-and,https://assets.passiton.com/quotes/quote_artwork/7899/medium/20211103_wednesday_quote.jpg?1635457515,Loyalty is the pledge of truth to oneself and others.,<Author:0x000055ecd77b7658>
LOYALTY,/inspirational-quotes/5504-no-more-important-duty-can-be-urged-upon-those,https://assets.passiton.com/quotes/quote_artwork/5504/medium/20211102_tuesday_quote.jpg?1635457492,No more important duty can be urged upon those who are entering the great theater of life than simple loyalty to their best convictions.,<Author:0x000055ecd77ca9b0>
LOYALTY,/inspirational-quotes/7990-you-cannot-buy-loyalty-you-cannot-buy-the,https://assets.passiton.com/quotes/quote_artwork/7990/medium/20211101_monday_quote.jpg?1635457465,"You cannot buy loyalty; you cannot buy the devotion of hearts, minds, and souls. You have to earn these things.",<Author:0x000055ecd77edc58>
GRIT,/inspirational-quotes/8275-grit-is-that-extra-something-that-separates,https://assets.passiton.com/quotes/quote_artwork/8275/medium/20211029_friday_quote.jpg?1634921264,"Grit is that ‘extra something’ that separates the most successful people from the rest. It’s the passion, perseverance, and stamina that we must channel in order to stick with our dreams until they become a reality.",<Author:0x000055ecd780c7c0>
GRIT,/inspirational-quotes/8274-grit-is-the-grain-of-character,https://assets.passiton.com/quotes/quote_artwork/8274/medium/20211028_thursday_quote.jpg?1634921240,Grit is the grain of character.,<Author:0x000055ecd783fcd8>
GRIT,/inspirational-quotes/8273-we-like-to-think-of-our-champions-and-idols-as,https://assets.passiton.com/quotes/quote_artwork/8273/medium/20211027_wednesday_quote.jpg?1634921218,We like to think of our champions and idols as superheroes who were born different from us. We don’t like to think of them as relatively ordinary people who made themselves extraordinary.,<Author:0x000055ecd784d4c8>
GRIT,/inspirational-quotes/7404-the-same-boiling-water-that-softens-the-potato,https://assets.passiton.com/quotes/quote_artwork/7404/medium/20211026_tuesday_quote.jpg?1634921196,"The same boiling water that softens the potato hardens the egg. It's about what you're made of, not the circumstances.",<Author:0x000055ecd7863318>
GRIT,/inspirational-quotes/8272-what-we-accomplish-in-the-marathon-of-life,https://assets.passiton.com/quotes/quote_artwork/8272/medium/20211025_monday_quote.jpg?1634921166,What we accomplish in the marathon of life depends tremendously on our grit—our passion and perseverance for long-term goals.,<Author:0x000055ecd7876828>
BELIEVE IN YOURSELF,/inspirational-quotes/7676-i-don-t-like-to-gamble-but-if-there-s-one,https://assets.passiton.com/quotes/quote_artwork/7676/medium/20211022_friday_quote.jpg?1634252268,"I don’t like to gamble, but if there’s one thing I’m willing to bet on, it’s myself.",<Author:0x000055ecd7894b98>
